game_num,country1,qa,country2,qb,grp,Ea,Eb
1,Brazil ,1242,Croatia,903,A,0.579020979,0.420979021
2,Mexico ,882,Cameroon,558,A,0.6125,0.3875
3,Spain ,1485,Netherlands,981,B,0.602189781,0.397810219
4,Chile ,1026,Australia,526,B,0.661082474,0.338917526
5,Colombia ,1026,Greece,1064,C,0.490909091,0.509090909
6,Uruguay ,1147,Costa Rica,762,D,0.600838135,0.399161865
7,Ivory Coast ,809,Japan,626,C,0.563763066,0.436236934
8,England ,1090,Italy,1104,D,0.49680948,0.50319052
9,Switzerland  ,1149,Ecuador,791,E,0.592268041,0.407731959
10,Argentina ,1175,Bosnia,873,F,0.573730469,0.426269531
11,France ,913,Honduras,731,E,0.555352798,0.444647202
12,Iran ,641,Nigeria,640,F,0.50039032,0.49960968
13,Germany ,1300,Portugal ,1189,G,0.522298112,0.477701888
14,Ghana ,704,United States ,1035,G,0.404830362,0.595169638
15,Belgium ,1074,Algeria,858,H,0.555900621,0.444099379
16,Russia ,893,South Korea,547,H,0.620138889,0.379861111
17,Brazil ,1242,Mexico,882,A,0.584745763,0.415254237
18,Australia ,526,Netherlands,981,B,0.349037823,0.650962177
19,Cameroon ,558,Croatia,903,A,0.381930185,0.618069815
20,Spain ,1485,Chile,1026,B,0.591397849,0.408602151
21,Colombia ,1026,Ivory Coast,809,C,0.559128065,0.440871935
22,Japan ,626,Greece,1064,C,0.370414201,0.629585799
23,Uruguay ,1147,England,1090,D,0.512740277,0.487259723
24,Switzerland  ,1149,France,913,E,0.557225994,0.442774006
25,Italy ,1104,Costa Rica,762,D,0.591639871,0.408360129
26,Honduras ,731,Ecuador,791,E,0.480289093,0.519710907
27,Germany ,1300,Ghana ,704,G,0.648702595,0.351297405
28,Argentina ,1175,Iran ,641,F,0.647026432,0.352973568
29,Nigeria ,640,Bosnia,873,F,0.423000661,0.576999339
30,United States ,1035,Portugal ,1189,G,0.465377698,0.534622302
31,Belgium ,1074,Russia,893,H,0.546009151,0.453990849
32,South Korea ,547,Algeria,858,H,0.389323843,0.610676157
33,Cameroon ,558,Brazil,1242,A,0.31,0.69
34,Croatia ,903,Mexico,882,A,0.505882353,0.494117647
35,Australia ,526,Spain,1485,B,0.261561412,0.738438588
36,Netherlands ,981,Chile,1026,B,0.488789238,0.511210762
37,Japan ,626,Colombia,1026,C,0.378934625,0.621065375
38,Greece ,1064,Ivory Coast,809,C,0.568072611,0.431927389
39,Italy ,1104,Uruguay,1147,D,0.490448689,0.509551311
40,Costa Rica ,762,England,1090,D,0.411447084,0.588552916
41,Nigeria ,640,Argentina ,1175,F,0.35261708,0.64738292
42,Bosnia,873,Iran ,641,F,0.57661823,0.42338177
43,Honduras ,731,Switzerland,1149,E,0.388829787,0.611170213
44,Ecuador ,791,France,913,E,0.464201878,0.535798122
45,South Korea ,547,Belgium,1074,H,0.337446021,0.662553979
46,Algeria ,858,Russia,893,H,0.490005711,0.509994289
47,United States ,1035,Germany ,1300,G,0.443254818,0.556745182
48,Portugal ,1189,Ghana ,704,G,0.628103539,0.371896461